Living things;जीवजाल
					Possessive Pronouns (Adjective 2);सम्बन्धसूचक सर्वनाम 2	
				Instrumental case of Pronouns 1;करण कारक 1
				Instrumental case of pronouns 2;करण कारक 2
				Dative case of Pronouns 1;संप्रदान कारक 1
				Dative case of Pronouns 2;संप्रदान कारक 2
				Ablative case of Pronouns;अपादान कारक
				Accusative case of Pronouns;कर्म कारक
				Locative case of Pronouns 1;अधिकरण कारक 1
				Locative case of Pronouns 2;अधिकरण कारक 2
				Declension of Demonstrative Pronouns;निश्चयवाचक सर्वनामांची विभक्ति रूप
			Verb;क्रियापद
				Verbs starting with letter अ;अ अक्षराचीं क्रियापदां
				Verbs starting with letter आ;आ अक्षराचीं क्रियापदां
				Verbs starting with letters इ,ई and उ;इ, ई आनी उ अक्षरांचीं क्रियापदां
				Verbs starting with letter ऊ;ऊ अक्षराचीं क्रियापदां
				Verbs starting with letters ए, ऐ, ओ and औ;ए, ऐ, ओ आनी औ अक्षरांचीं क्रियापदां
				Verbs starting with letter क;क अक्षराचीं क्रियापदां
				Verbs starting with letter का;का अक्षराचीं क्रियापदां
				Verbs starting with letters कि and की;कि आनी की अक्षरांचीं क्रियापदां
				Verbs starting with letters कु and कू;कु आनी कू अक्षरांचीं क्रियापदां
				Verbs starting with letters के, को and कौ;के, को आनी कौ अक्षरांचीं क्रियापदां
				Verbs starting with letter ख;ख अक्षराचीं क्रियापदां
				Verbs starting with letter खा;खा अक्षराचीं क्रियापदां
				Verbs starting with letters खि and खी;खि आनी खी अक्षरांचीं क्रियापदां
				Verbs starting with letters खु, खू, खे,and खै;खु, खू, खे, आनी खै अक्षरांचीं क्रियापदां
				Verbs starting with letters खो and खौ;खो आनी खौ अक्षरांचीं क्रियापदां
				Verbs starting with letter ग;ग अक्षराचीं क्रियापदां
				Verbs starting with letter गा;गा अक्षराचीं क्रियापदां
				Verbs starting with letters गि, गी, गु and गू;गि, गी, गु आनी गू अक्षरांचीं क्रियापदां
				Verbs starting with letters गो and गौ;गो आनी गौ अक्षरांचीं क्रियापदां
				Verbs starting with letter घ;घ अक्षराचीं क्रियापदां
				Verbs starting with letter घा;घा अक्षराचीं क्रियापदां
				Verbs starting with letter घु and घू;घु आनी घू अक्षरांचीं क्रियापदां
				Verbs starting with letters घे, घै, घो and घौ;घे, घै, घो आनी घौ अक्षरांचीं क्रियापदां
				Verbs starting with letter च;च अक्षराचीं क्रियापदां
				Verbs starting with letter चा;चा अक्षराचीं क्रियापदां
				Verbs starting with letters चि and ची;चि आनी ची अक्षरांचीं क्रियापदां
				Verbs starting with letters चु, चू,चे and चै;चु, चू, चे आनी चै अक्षरांचीं क्रियापदां
				Verbs starting with letters चो and चौ;चो आनी चौ अक्षरांचीं क्रियापदां
				Verbs starting with letter छ;छ अक्षराचीं क्रियापदां
				Verbs starting with letter ज;ज अक्षराचीं क्रियापदां
				Verbs starting with letter जा;जा अक्षराचीं क्रियापदां
				Verbs starting with letters जि and जी;जि आनी जी अक्षरांचीं क्रियापदां
